Timestamp_s,RED,IR
21.7323,106734,124822
21.7385,106735,124801
21.7423,106733,124788
21.7483,106697,124761
21.7513,106685,124701
21.7513,106632,124582
21.7513,106587,124496
21.7523,106553,124422
21.7523,106503,124414
21.7533,106533,124411
21.7533,106548,124412
21.7543,106572,124457
21.7543,106581,124479
21.7552,106602,124513
21.7552,106588,124528
21.7562,106609,124554
21.7619,106611,124568
21.7619,106669,124609
21.7639,106655,124625
22.1685,106677,124672
22.1842,106716,124714
22.1899,106700,124750
22.1938,106770,124771
22.1958,106725,124781
22.1986,106728,124786
22.2024,106756,124783
22.2044,106765,124827
22.2076,106777,124875
22.2147,106820,124930
22.2202,106847,124978
22.2308,106883,125014
22.2365,106836,125084
22.2421,106865,125061
22.249,106840,125057
22.2514,106726,124755
22.2557,106466,124279
22.2605,106247,123767
22.263,106080,123360
22.2689,105991,123096
22.2703,105977,123002
22.2713,105945,122966
22.2723,105964,123049
22.2733,105995,123073
22.2764,106009,123114
22.6699,105991,123135
22.6699,105994,123141
22.6877,106024,123165
22.6947,105995,123146
22.6967,105978,123094
22.7017,105963,123080
22.7042,105969,123070
22.7056,106029,123120
22.709,106027,123183
22.7106,106087,123258
22.7155,106152,123393
22.7236,106193,123540
22.7246,106250,123658
22.7256,106270,123710
22.7256,106273,123698
22.7266,106270,123699
22.7266,106246,123682
22.7276,106219,123596
22.7283,106181,123496
22.7283,106140,123394
22.7283,106105,123331
22.7307,106103,123342
22.7307,106133,123351
22.7307,106138,123398
22.7317,106148,123427
23.1754,106158,123463
23.1837,106197,123494
23.1868,106212,123546
23.1947,106221,123576
23.1965,106245,123629
23.2005,106258,123695
23.2058,106257,123732
23.2101,106222,123651
23.2101,106067,123315
23.2134,105819,122786
23.2184,105632,122324
23.2246,105489,122004
23.2246,105472,121896
23.2256,105478,121890
23.2264,105511,121968
23.2268,105550,122057
23.2268,105589,122143
23.2268,105610,122211
23.2268,105650,122285
23.2268,105690,122367
23.2268,105693,122392
23.2268,105668,122402
23.231,105682,122422
23.231,105700,122458
23.231,105725,122499
23.677,105752,122600
23.678,105826,122713
23.678,105870,122831
23.6834,105946,122981
23.6854,106008,123105
23.6866,106061,123238
23.6876,106112,123329
23.6886,106150,123403
23.6933,106182,123471
23.6974,106184,123538
23.6986,106216,123581
23.6986,106223,123621
23.7015,106229,123685
23.7034,106266,123751
23.7034,106285,123796
23.7044,106320,123860
23.706,106370,123939
23.7082,106416,124031
23.7096,106450,124084
23.7116,106493,124161
23.7127,106509,124234
23.7171,106548,124340
23.7181,106574,124391
23.7201,106613,124442
23.7201,106609,124453
24.1751,106543,124316
24.1771,106362,123894
24.1791,106106,123359
24.1811,105940,122905
24.1841,105814,122641
24.1855,105776,122565
24.1875,105799,122575
24.1894,105814,122647
24.2059,105842,122693
24.2185,105831,122768
24.2236,105860,122810
24.2273,105893,122922
24.2338,105903,122962
24.2354,105928,122948
24.2458,105889,122913
24.2488,105878,122833
24.2582,105863,122820
24.2621,105864,122809
24.2621,105869,122829
24.2717,105907,122879
24.2758,105942,122969
24.2758,105974,123028
24.2783,106015,123152
24.2803,106023,123195
24.2823,106065,123242
24.6733,106088,123288
24.6733,106103,123351
24.6925,106106,123387
24.699,106110,123414
24.7058,106163,123417
24.7151,106120,123440
24.7191,106168,123470
24.7198,106151,123481
24.7385,106174,123515
24.7403,106236,123552
24.744,106223,123620
24.7492,106255,123661
24.7522,106325,123721
24.7581,106328,123758
24.7611,106336,123795
24.7625,106324,123818
24.7663,106198,123585
24.7683,105954,123125
24.7698,105749,122611
24.7708,105598,122182
24.7754,105515,121958
24.7789,105485,121933
24.7789,105531,122002
24.7789,105569,122078
24.7789,105584,122169
25.1759,105605,122225
25.1857,105638,122261
25.1857,105674,122336
25.1926,105710,122388
25.1943,105698,122398
25.1971,105701,122374
25.2001,105710,122346
25.2011,105702,122345
25.2082,105717,122369
25.2135,105736,122427
25.2176,105797,122506
25.2228,105826,122582
25.2254,105850,122686
25.2264,105895,122784
25.2295,105918,122897
25.234,105980,122960
25.2364,106002,123024
25.241,106015,123045
25.241,106047,123077
25.242,106050,123090
25.2429,106043,123105
25.2441,106040,123107
25.245,106047,123148
25.245,106057,123135
25.245,106053,123139
25.6718,106057,123181
25.6904,106057,123188
